relative_path,file_role,role_note,old,domain,repository_url,number_of_imports,number_of_external_imports,number_of_internal_imports,number_of_standard_imports,number_of_classes,number_of_functions,is_entry_point,has_wait_state,number_of_decorators,number_of_base_classes,has_model_in_path,has_view_in_path,has_test_in_path,has_util_in_path,has_migration_in_path,has_script_in_path,has_middleware_in_path,has_enum_in_path,has_config_in_path,path_depth,functions_to_classes_ratio,external_import_ratio,code_complexity
nsidnev-fastapi-realworld-example-app-029eb77/app/api/routes/articles/articles_resource.py,view,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,24,9,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0.0,0.375,0
nsidnev-fastapi-realworld-example-app-029eb77/app/api/routes/authentication.py,view,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,19,10,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0.0,0.5263157894736842,0
nsidnev-fastapi-realworld-example-app-029eb77/app/api/routes/comments.py,view,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,18,7,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0.0,0.3888888888888889,0
nsidnev-fastapi-realworld-example-app-029eb77/app/api/routes/profiles.py,view,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,12,6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0.0,0.5,0
nsidnev-fastapi-realworld-example-app-029eb77/app/api/routes/tags.py,view,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,5,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0.0,0.4,0
nsidnev-fastapi-realworld-example-app-029eb77/app/api/routes/users.py,view,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,18,9,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0.0,0.5,0
nsidnev-fastapi-realworld-example-app-029eb77/app/core/config.py,config,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,9,0,6,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,3,0.0,0.0,1
nsidnev-fastapi-realworld-example-app-029eb77/app/core/events.py,utility,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,6,4,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.6666666666666666,0
nsidnev-fastapi-realworld-example-app-029eb77/app/core/logging.py,config,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,4,1,0,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,1.0,0.25,1
nsidnev-fastapi-realworld-example-app-029eb77/app/core/settings/app.py,config,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,11,1,2,8,2,2,0,0,1,1,0,1,0,0,0,0,0,0,1,4,1.0,0.0909090909090909,2
nsidnev-fastapi-realworld-example-app-029eb77/app/core/settings/base.py,config,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,2,0,0,2,3,0,0,0,0,2,0,1,0,0,0,0,0,0,1,4,0.0,0.0,2
nsidnev-fastapi-realworld-example-app-029eb77/app/core/settings/development.py,config,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,2,0,1,1,2,0,0,0,0,2,0,1,0,0,0,0,0,0,1,4,0.0,0.0,2
nsidnev-fastapi-realworld-example-app-029eb77/app/core/settings/production.py,config,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,1,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,1,4,0.0,0.0,2
nsidnev-fastapi-realworld-example-app-029eb77/app/core/settings/test.py,config,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,4,0,1,3,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,4,0.0,0.0,1
nsidnev-fastapi-realworld-example-app-029eb77/app/db/errors.py,utility,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0.0,0.0,1
nsidnev-fastapi-realworld-example-app-029eb77/app/db/events.py,utility,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.75,0
nsidnev-fastapi-realworld-example-app-029eb77/app/db/queries/tables.py,model,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,5,2,1,2,7,2,0,0,0,3,0,1,0,0,0,0,0,0,0,4,0.2857142857142857,0.4,3
nsidnev-fastapi-realworld-example-app-029eb77/app/db/repositories/articles.py,model,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,20,9,7,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,4,1.0,0.45,1
nsidnev-fastapi-realworld-example-app-029eb77/app/db/repositories/base.py,model,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,1,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,4,2.0,1.0,1
nsidnev-fastapi-realworld-example-app-029eb77/app/db/repositories/comments.py,model,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,11,3,6,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,4,1.0,0.2727272727272727,1
nsidnev-fastapi-realworld-example-app-029eb77/app/db/repositories/profiles.py,model,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,8,2,4,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,4,1.0,0.25,1
nsidnev-fastapi-realworld-example-app-029eb77/app/db/repositories/tags.py,model,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,4,1,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0.0,0.25,1
nsidnev-fastapi-realworld-example-app-029eb77/app/db/repositories/users.py,model,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,6,1,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0.0,0.1666666666666666,1
nsidnev-fastapi-realworld-example-app-029eb77/app/models/common.py,model,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,4,0,0,4,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,3,0.5,0.0,2
nsidnev-fastapi-realworld-example-app-029eb77/app/models/domain/articles.py,model,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,5,0,4,1,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,4,0.0,0.0,3
nsidnev-fastapi-realworld-example-app-029eb77/app/models/domain/comments.py,model,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,4,0,4,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,4,0.0,0.0,3
nsidnev-fastapi-realworld-example-app-029eb77/app/models/domain/profiles.py,model,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,2,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,0.0,0.0,1
nsidnev-fastapi-realworld-example-app-029eb77/app/models/domain/rwmodel.py,model,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,3,0,0,3,2,2,0,0,0,2,1,1,0,0,0,0,0,0,0,4,1.0,0.0,2
nsidnev-fastapi-realworld-example-app-029eb77/app/models/domain/users.py,model,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,5,1,3,1,2,2,0,0,0,4,1,1,0,0,0,0,0,0,0,4,1.0,0.2,4
nsidnev-fastapi-realworld-example-app-029eb77/app/models/schemas/articles.py,model,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,6,0,2,4,6,0,0,0,0,3,1,1,0,0,0,0,0,0,0,4,0.0,0.0,3
nsidnev-fastapi-realworld-example-app-029eb77/app/models/schemas/comments.py,model,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,3,0,2,1,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,0.0,0.0,1
nsidnev-fastapi-realworld-example-app-029eb77/app/models/schemas/jwt.py,model,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,2,0,0,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,0.0,0.0,1
nsidnev-fastapi-realworld-example-app-029eb77/app/models/schemas/profiles.py,model,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,2,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,0.0,0.0,1
nsidnev-fastapi-realworld-example-app-029eb77/app/models/schemas/rwschema.py,model,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,1,0,1,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,4,0.0,0.0,2
nsidnev-fastapi-realworld-example-app-029eb77/app/models/schemas/tags.py,model,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,2,0,0,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,0.0,0.0,1
nsidnev-fastapi-realworld-example-app-029eb77/app/models/schemas/users.py,model,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,6,0,2,4,5,0,0,0,0,4,1,1,0,0,0,0,0,0,0,4,0.0,0.0,4
nsidnev-fastapi-realworld-example-app-029eb77/app/resources/strings.py,enum,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.0,0
nsidnev-fastapi-realworld-example-app-029eb77/app/services/articles.py,utility,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,5,1,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.2,0
nsidnev-fastapi-realworld-example-app-029eb77/app/services/authentication.py,utility,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.0,0
nsidnev-fastapi-realworld-example-app-029eb77/app/services/comments.py,utility,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.0,0
nsidnev-fastapi-realworld-example-app-029eb77/app/services/jwt.py,utility,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,8,0,3,5,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.0,0
nsidnev-fastapi-realworld-example-app-029eb77/app/services/security.py,utility,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,2,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0.0,1.0,0
nsidnev-fastapi-realworld-example-app-029eb77/tests/conftest.py,utility,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,14,5,7,2,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0.0,0.3571428571428571,0
nsidnev-fastapi-realworld-example-app-029eb77/tests/fake_asyncpg_pool.py,test,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,5,2,0,3,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1.5,0.4,0
nsidnev-fastapi-realworld-example-app-029eb77/tests/test_api/test_errors/test_422_error.py,test,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,4,3,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0.0,0.75,0
nsidnev-fastapi-realworld-example-app-029eb77/tests/test_api/test_errors/test_error.py,test,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,4,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0.0,0.75,0
nsidnev-fastapi-realworld-example-app-029eb77/tests/test_api/test_routes/test_articles.py,test,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,13,4,8,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0.0,0.3076923076923077,0
nsidnev-fastapi-realworld-example-app-029eb77/tests/test_api/test_routes/test_authentication.py,test,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,6,3,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0.0,0.5,0
nsidnev-fastapi-realworld-example-app-029eb77/tests/test_api/test_routes/test_comments.py,test,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,10,4,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0.0,0.4,0
nsidnev-fastapi-realworld-example-app-029eb77/tests/test_api/test_routes/test_login.py,test,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,6,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0.0,0.6666666666666666,0
nsidnev-fastapi-realworld-example-app-029eb77/tests/test_api/test_routes/test_profiles.py,test,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,9,4,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0.0,0.4444444444444444,0
nsidnev-fastapi-realworld-example-app-029eb77/tests/test_api/test_routes/test_registration.py,test,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,8,5,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0.0,0.625,0
nsidnev-fastapi-realworld-example-app-029eb77/tests/test_api/test_routes/test_tags.py,test,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,5,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0.0,0.6,0
nsidnev-fastapi-realworld-example-app-029eb77/tests/test_api/test_routes/test_users.py,test,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,8,4,3,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0.0,0.5,0
nsidnev-fastapi-realworld-example-app-029eb77/tests/test_db/test_queries/test_tables.py,test,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,1,0,1,0,2,3,0,0,0,1,0,1,1,0,0,0,0,0,0,4,1.5,0.0,1
nsidnev-fastapi-realworld-example-app-029eb77/tests/test_schemas/test_rw_model.py,test,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,2,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0.0,0.0,0
nsidnev-fastapi-realworld-example-app-029eb77/tests/test_services/test_jwt.py,test,,old,Demo FastAPI Application,https://api.github.com/repos/nsidnev/fastapi-realworld-example-app,8,2,4,2,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0.0,0.25,0
cookiecutter-cookiecutter-django-55b5e44/docs/conf.py,config,,old,Developer Tools,https://api.github.com/repos/cookiecutter/cookiecutter-django,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0
cookiecutter-cookiecutter-django-55b5e44/hooks/post_gen_project.py,script,,old,Developer Tools,https://api.github.com/repos/cookiecutter/cookiecutter-django,8,0,0,8,0,46,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,3
cookiecutter-cookiecutter-django-55b5e44/hooks/pre_gen_project.py,script,,old,Developer Tools,https://api.github.com/repos/cookiecutter/cookiecutter-django,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0
cookiecutter-cookiecutter-django-55b5e44/scripts/create_django_issue.py,script,,old,Developer Tools,https://api.github.com/repos/cookiecutter/cookiecutter-django,12,0,0,12,2,18,1,0,2,1,0,0,0,0,0,1,0,0,0,2,9.0,0.0,3
cookiecutter-cookiecutter-django-55b5e44/scripts/node_version.py,script,,old,Developer Tools,https://api.github.com/repos/cookiecutter/cookiecutter-django,3,0,0,3,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0.0,0.0,0
cookiecutter-cookiecutter-django-55b5e44/scripts/ruff_version.py,script,,old,Developer Tools,https://api.github.com/repos/cookiecutter/cookiecutter-django,4,0,0,4,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0.0,0.0,3
cookiecutter-cookiecutter-django-55b5e44/scripts/update_changelog.py,script,,old,Developer Tools,https://api.github.com/repos/cookiecutter/cookiecutter-django,11,1,0,10,0,7,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0.0,0.0909090909090909,3
cookiecutter-cookiecutter-django-55b5e44/scripts/update_contributors.py,script,,old,Developer Tools,https://api.github.com/repos/cookiecutter/cookiecutter-django,6,0,0,6,1,7,1,0,0,0,0,0,0,0,0,1,0,0,0,2,7.0,0.0,0
cookiecutter-cookiecutter-django-55b5e44/tests/test_cookiecutter_generation.py,test,,old,Developer Tools,https://api.github.com/repos/cookiecutter/cookiecutter-django,12,4,0,8,0,19,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0.0,0.3333333333333333,1
cookiecutter-cookiecutter-django-55b5e44/tests/test_hooks.py,test,,old,Developer Tools,https://api.github.com/repos/cookiecutter/cookiecutter-django,4,1,1,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0.0,0.25,0
cookiecutter-cookiecutter-django-55b5e44/{{cookiecutter.project_slug}}/config/api.py,config,,old,Developer Tools,https://api.github.com/repos/cookiecutter/cookiecutter-django,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0.0,1.0,0
cookiecutter-cookiecutter-django-55b5e44/{{cookiecutter.project_slug}}/config/asgi.py,config,,old,Developer Tools,https://api.github.com/repos/cookiecutter/cookiecutter-django,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.0,0.4,0
cookiecutter-cookiecutter-django-55b5e44/{{cookiecutter.project_slug}}/config/celery_app.py,config,,old,Developer Tools,https://api.github.com/repos/cookiecutter/cookiecutter-django,5,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.0,0.6,0
cookiecutter-cookiecutter-django-55b5e44/{{cookiecutter.project_slug}}/config/websocket.py,config,,old,Developer Tools,https://api.github.com/repos/cookiecutter/cookiecutter-django,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.0,0.0,0
cookiecutter-cookiecutter-django-55b5e44/{{cookiecutter.project_slug}}/config/wsgi.py,config,,old,Developer Tools,https://api.github.com/repos/cookiecutter/cookiecutter-django,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.0,0.25,0
cookiecutter-cookiecutter-django-55b5e44/{{cookiecutter.project_slug}}/merge_production_dotenvs_in_dotenv.py,script,,old,Developer Tools,https://api.github.com/repos/cookiecutter/cookiecutter-django,4,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0
cookiecutter-cookiecutter-django-55b5e44/{{cookiecutter.project_slug}}/tests/test_merge_production_dotenvs_in_dotenv.py,test,,old,Developer Tools,https://api.github.com/repos/cookiecutter/cookiecutter-django,5,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0.0,0.2,0
cookiecutter-cookiecutter-django-55b5e44/{{cookiecutter.project_slug}}/{{cookiecutter.project_slug}}/users/apps.py,other,,old,Developer Tools,https://api.github.com/repos/cookiecutter/cookiecutter-django,2,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1.0,1.0,1
cookiecutter-cookiecutter-django-55b5e44/{{cookiecutter.project_slug}}/{{cookiecutter.project_slug}}/users/context_processors.py,other,,old,Developer Tools,https://api.github.com/repos/cookiecutter/cookiecutter-django,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,1.0,0
cookiecutter-cookiecutter-django-55b5e44/{{cookiecutter.project_slug}}/{{cookiecutter.project_slug}}/users/managers.py,model,,old,Developer Tools,https://api.github.com/repos/cookiecutter/cookiecutter-django,4,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.0,0.5,0
cookiecutter-cookiecutter-django-55b5e44/{{cookiecutter.project_slug}}/{{cookiecutter.project_slug}}/users/tasks.py,model,,old,Developer Tools,https://api.github.com/repos/cookiecutter/cookiecutter-django,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0.0,1.0,1
psf-requests-cd90742/docs/_themes/flask_theme_support.py,config,,old,HTTP Client,https://api.github.com/repos/psf/requests,13,0,0,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0.0,0.0,1
psf-requests-cd90742/docs/conf.py,config,,old,HTTP Client,https://api.github.com/repos/psf/requests,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0
psf-requests-cd90742/setup.py,script,,old,HTTP Client,https://api.github.com/repos/psf/requests,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
psf-requests-cd90742/src/requests/_internal_utils.py,utility,,old,HTTP Client,https://api.github.com/repos/psf/requests,2,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0.0,0.5,0
psf-requests-cd90742/src/requests/_types.py,other,,old,HTTP Client,https://api.github.com/repos/psf/requests,21,0,5,16,8,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0.375,0.0,3
psf-requests-cd90742/src/requests/adapters.py,utility,,old,HTTP Client,https://api.github.com/repos/psf/requests,47,4,24,19,2,20,0,0,0,1,0,0,0,0,0,0,0,0,0,3,10.0,0.0851063829787234,1
psf-requests-cd90742/src/requests/api.py,view,,old,HTTP Client,https://api.github.com/repos/psf/requests,6,2,1,3,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.3333333333333333,0
psf-requests-cd90742/src/requests/auth.py,middleware,,old,HTTP Client,https://api.github.com/repos/psf/requests,22,3,5,14,4,24,0,0,1,2,0,0,0,0,0,0,0,0,0,3,6.0,0.1363636363636363,3
psf-requests-cd90742/src/requests/certs.py,script,,old,HTTP Client,https://api.github.com/repos/psf/requests,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0
psf-requests-cd90742/src/requests/compat.py,utility,,old,HTTP Client,https://api.github.com/repos/psf/requests,30,1,3,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0333333333333333,0
psf-requests-cd90742/src/requests/cookies.py,utility,,old,HTTP Client,https://api.github.com/repos/psf/requests,22,5,4,13,4,52,0,0,2,2,0,0,0,0,0,0,0,0,0,3,13.0,0.2272727272727272,4
psf-requests-cd90742/src/requests/exceptions.py,utility,,old,HTTP Client,https://api.github.com/repos/psf/requests,8,0,5,3,25,3,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0.12,0.0,13
psf-requests-cd90742/src/requests/help.py,script,,old,HTTP Client,https://api.github.com/repos/psf/requests,13,3,1,9,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.2307692307692307,0
psf-requests-cd90742/src/requests/hooks.py,script,,old,HTTP Client,https://api.github.com/repos/psf/requests,7,1,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.1428571428571428,0
psf-requests-cd90742/src/requests/models.py,model,,old,HTTP Client,https://api.github.com/repos/psf/requests,66,9,32,25,5,52,0,0,3,2,1,0,0,0,0,0,0,0,0,3,10.4,0.1363636363636363,5
psf-requests-cd90742/src/requests/packages.py,other,,old,HTTP Client,https://api.github.com/repos/psf/requests,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.5,0
